ID	pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
1M	2025-10-23	Optimization of RIS-assisted Cell-free Massive MIMO Systems with Heterogeneous Graph Neural Networks under Imperfect Channel Estimation	IEEE Transactions on Vehicular Technology	"This study investigates a cell-free massive MIMO system integrated with a reconfigurable intelligent surface (RIS), focusing on performance under imperfect channel estimation and pilot contamination. Proposes a heterogeneous graph neural network (HetGNN) architecture to optimize the RIS-assisted CFMM system for maximizing performance."	"Nguyen, Q.-S., Dang, X.-T., & Shin, O.-S. (2025). ""Optimization of RIS-assisted Cell-free Massive MIMO Systems with Heterogeneous Graph Neural Networks under Imperfect Channel Estimation."" <i>IEEE Transactions on Vehicular Technology</i>."	optimization-ris-cfmm-hetgnn-imperfect-channel	https://ieeexplore.ieee.org/document/11216092		manuscripts
2M	2025-07-18	Optimization of Energy Efficiency for Federated Learning over IRS-assisted Cell-free Massive MIMO Networks	IEEE Transactions on Wireless Communications	This paper explores the optimization of energy efficiency for federated learning in an intelligent reflecting surface (IRS)-assisted cell-free massive MIMO network.	"Dang, X.-T., Nguyen, H. V., & Shin, O.-S. (2025). ""Optimization of Energy Efficiency for Federated Learning over IRS-assisted Cell-free Massive MIMO Networks."" <i>IEEE Transactions on Wireless Communications</i>."	optimization-energy-efficiency-federated-learning-irs-mimo	https://doi.org/10.1109/TWC.2025.3588353		manuscripts
3M	2025-08-15	Optimizing Energy Efficiency for Federated Learning in Rotary-Wing UAV Air-to-Ground Communications	IEEE Transactions on Green Communications and Networking	Focuses on enhancing the energy efficiency of federated learning systems utilizing rotary-wing unmanned aerial vehicles (UAVs) for air-to-ground communication.	"Dang, X.-T., Nguyen, Q.-S., & Shin, O.-S. (2025). ""Optimizing Energy Efficiency for Federated Learning in Rotary-Wing UAV Air-to-Ground Communications."" <i>IEEE Transactions on Green Communications and Networking</i>."	optimizing-energy-efficiency-federated-learning-uav-communications	https://doi.org/10.1109/TGCN.2025.3599309		manuscripts
4M	2025-08-01	A DDPG-LSTM Framework for Optimizing UAV-Enabled Integrated Sensing and Communication	Drones	Presents a framework combining Deep Deterministic Policy Gradient (DDPG) and Long Short-Term Memory (LSTM) networks to optimize Integrated Sensing and Communication (ISC) systems enabled by UAVs.	"Dang, X.-T., Eom, J.-S., Vu, B.-M., & Shin, O.-S. (2025). ""A DDPG-LSTM Framework for Optimizing UAV-Enabled Integrated Sensing and Communication."" <i>Drones</i>, 9(8), 548."	ddpg-lstm-framework-optimizing-uav-sensing-communication	https://doi.org/10.3390/drones9080548		manuscripts
5M	2025-04-22	Combining the Viterbi Algorithm and Graph Neural Networks for Efficient MIMO Detection	Electronics	Investigates a novel method for efficient Multiple-Input Multiple-Output (MIMO) detection by integrating the Viterbi algorithm with Graph Neural Networks (GNNs).	"Nguyen, T. A., Dang, X.-T., Shin, O.-S., & Lee, J. (2025). ""Combining the Viterbi Algorithm and Graph Neural Networks for Efficient MIMO Detection."" <i>Electronics</i>, 14(9), 1698."	viterbi-graph-neural-networks-mimo-detection	https://doi.org/10.3390/electronics14091698		manuscripts
6M	2024-06-27	Physical Layer Security for IRS-UAV-Assisted Cell-Free Massive MIMO Systems	IEEE Access	Analyzes and enhances physical layer security in cell-free massive MIMO systems assisted by both intelligent reflecting surfaces (IRS) and unmanned aerial vehicles (UAVs).	"Dang, X.-T., Nguyen, H. V., & Shin, O.-S. (2024). ""Physical Layer Security for IRS-UAV-Assisted Cell-Free Massive MIMO Systems."" <i>IEEE Access</i>."	physical-layer-security-irs-uav-massive-mimo	https://doi.org/10.1109/ACCESS.2024.3419888		manuscripts
7M	2024-12-23	A Survey on Energy-Efficient Design for Federated Learning over Wireless Networks	Energies	A comprehensive review detailing the current state-of-the-art and challenges in designing energy-efficient federated learning protocols for wireless communication networks.	"Dang, X.-T., Vu, B.-M., Nguyen, Q.-S., Tran, T.-T.-M., Eom, J.-S., & Shin, O.-S. (2024). ""A Survey on Energy-Efficient Design for Federated Learning over Wireless Networks."" <i>Energies</i>, 17(24), 6485."	survey-energy-efficient-federated-learning-wireless	https://doi.org/10.3390/en17246485		manuscripts
8M	2024-05-08	Optimization of Energy Efficiency for Federated Learning over Unmanned Aerial Vehicle Communication Networks	Electronics	Focuses on optimizing the energy efficiency of federated learning implementations in communication networks supported by Unmanned Aerial Vehicles (UAVs).	"Dang, X.-T., & Shin, O.-S. (2024). ""Optimization of Energy Efficiency for Federated Learning over Unmanned Aerial Vehicle Communication Networks."" <i>Electronics</i>, 13(10), 1827."	optimization-energy-efficiency-federated-learning-uav-networks	https://doi.org/10.3390/electronics13101827		manuscripts
9M	2023-08-30	Optimization of IRS-NOMA-Assisted Cell-Free Massive MIMO Systems Using Deep Reinforcement Learning	IEEE Access	Applies Deep Reinforcement Learning (DRL) to optimize the performance of intelligent reflecting surface (IRS) and NOMA-assisted cell-free massive MIMO systems.	"Dang, X.-T., Nguyen, H. V., & Shin, O.-S. (2023). ""Optimization of IRS-NOMA-Assisted Cell-Free Massive MIMO Systems Using Deep Reinforcement Learning."" <i>IEEE Access</i>."	optimization-irs-noma-mimo-deep-rl	https://doi.org/10.1109/access.2023.3310283		manuscripts
10M	2022-12-01	Optimal User Pairing Approach for NOMA-Based Cell-Free Massive MIMO Systems	IEEE Transactions on Vehicular Technology	Proposes an optimal user pairing approach for Non-Orthogonal Multiple Access (NOMA) integration into Cell-Free Massive MIMO systems to maximize sum spectral efficiency.	"Dang, X.-T., Le, M. T. P., Nguyen, H. V., Chatzinotas, S., & Shin, O.-S. (2023). ""Optimal User Pairing Approach for NOMA-Based Cell-Free Massive MIMO Systems."" <i>IEEE Transactions on Vehicular Technology</i>, 72(4), 4751-4765."	optimal-user-pairing-noma-cell-free-massive-mimo	https://doi.org/10.1109/TVT.2022.3225835		manuscripts
